Timestamp,What is your age?,What pronouns do you use?,What is your nationality or ethnicity?,How often do you use Tik Tok?,What is the first page you visit when you open TikTok?,How much do you use each of these features? [For You page],How much do you use each of these features? [Following page],How much do you use each of these features? [Favorites page],How much do you use each of these features? [Friends Page],How much do you use each of these features? [Discover Page],How much do you use each of these features? [Search bar],How much do you use each of these features? [Like],How much do you use each of these features? [Comment],How much do you use each of these features? [Save],How much do you use each of these features? [Follow],How much do you use each of these features? [Share],How much do you use each of these features? [Not interested ],How much do you use each of these features? [Refresh ],How often do you see content related to your interests in the For You page?,"After using the search bar, what action do you do? [Go to For You Page]","After using the search bar, what action do you do? [Keep scrolling through search results ]","After using the search bar, what action do you do? [Use the search bar again]","After using the search bar, what action do you do? [Other]","After going to the Discover page, what action do you do? [Go to For You Page]","After going to the Discover page, what action do you do? [Stay at Discover Page]","After going to the Discover page, what action do you do? [Other]",How many videos do you watch while checking out an account?,How much content do you watch in the following topics? [Politics],How much content do you watch in the following topics? [Sports],How much content do you watch in the following topics? [Eating Habits],How much content do you watch in the following topics? [Memes],How much content do you watch in the following topics? [Conspiracies],How much content do you watch in the following topics? [Pets],How much content do you watch in the following topics? [Dance],How much content do you watch in the following topics? [Entertainment],How much content do you watch in the following topics? [Food],How much content do you watch in the following topics? [Games],How much content do you watch in the following topics? [Other],Recommend up to 3 political topics of your interest that you have recently watched on Tiktok,"Recommend up to 3 creators or topics that you watch about conspiracies( UFO, Flat Earth, Reptilians, Illuminati, etc)","Recommend up to 3 creators or topics that you watch about eating habits (e.g., balanced meal ideas, cooking tutorials, excessive food consumption, etc.)"
3/8/2024 13:15:27,22,She/her,Egyptian/Canadian Born,Multiple times a day,For You,Always,Often,Rarely,Rarely,Often,Often,Often,Rarely,Often,Sometimes,Always,Often,Always,Often,Often,Often,Sometimes,Rarely,Often,Often,Rarely,Upto 10 vidoes,Sometimes,Rarely,Often,Always,Sometimes,Sometimes,Sometimes,Often,Always,Rarely,Often,"Palestinian liberation, greenwashing, trump",Conspiracies are usually about the US government terrorism. Mostly about the IDF's actions in Middle Eastern countries (don't know if this qualifies as conspiracy),"chopped salads, protein heavy meals, halal recipes"
3/15/2024 12:09:32,20,She/her,white Canadian,Once everyday,For You,Often,Rarely,Often,Never,Never,Sometimes,Often,Sometimes,Rarely,Rarely,Often,Sometimes,Sometimes,Often,Often,Often,Sometimes,Never,Often,Never,Never,1-5 videos,Sometimes,Sometimes,Often,Often,Never,Often,Often,Often,Often,Rarely,Rarely,,,Colleen Christensen
3/11/2024 11:13:23,20,She/her,Canadian,Multiple times a day,For You,Always,Rarely,Never,Never,Never,Often,Often,Never,Sometimes,Rarely,Rarely,Rarely,Rarely,Often,Often,Rarely,Never,Never,Often,Sometimes,Never,1-5 videos,Often,Rarely,Sometimes,Sometimes,Rarely,Rarely,Rarely,Often,Often,Never,Never,"Palestine, trump possible reelection, Canadian healthcare ",,"cookie videos/recipes, eat in a day, restaurants reviews"
3/3/2024 2:45:03,21,She/her,Chinese,Once everyday,For You,Always,Always,Always,Always,Always,Always,Sometimes,Sometimes,Always,Sometimes,Often,Rarely,Often,Often,Often,Often,Often,Sometimes,Often,Often,Sometimes,1-5 videos,Rarely,Often,Often,Sometimes,Rarely,Always,Sometimes,Sometimes,Always,Sometimes,Sometimes,,,"Cooking tutorial,"
3/7/2024 23:35:05,17,He/him,South Asian,Multiple times a day,For You,Always,Always,Sometimes,Sometimes,Sometimes,Often,Always,Never,Always,Sometimes,Always,Rarely,Never,Often,Sometimes,Never,Never,Always,Always,Sometimes,Always,1-5 videos,Sometimes,Never,Never,Rarely,Never,Never,Never,Always,Often,Never,Always,"Palestine, Leftist content, Queer content",,"cooking tutorials, introduction to specific cuisines"
3/13/2024 17:43:17,21,She/her,White and Black,Multiple times a day,For You,Always,Never,Rarely,Never,Sometimes,Often,Always,Rarely,Always,Never,Often,Sometimes,Sometimes,Often,Always,Often,Often,Rarely,Always,Rarely,Never,1-5 videos,Often,Sometimes,Sometimes,Rarely,Sometimes,Often,Often,Often,Always,Never,Often,"The US 2024 election candidates, the Middle East, and abortion/the right to contraception",The recent Kate Middleton conspiracy,"Cooking tutorials, restaurant recommendations"
3/7/2024 12:59:28,19,He/him,Eastern Europe,Multiple times a day,For You,Always,Never,Sometimes,Rarely,Rarely,Sometimes,Often,Sometimes,Often,Rarely,Often,Rarely,Rarely,Often,Often,Rarely,Never,Never,Often,Rarely,Never,Upto 10 vidoes,Often,Rarely,Rarely,Often,Sometimes,Often,Never,Often,Rarely,Sometimes,Sometimes,"Canada's current economy, Palestine vs Israel, upcoming US election ",Ultra wealthy ,Debunking supplement industry 
3/9/2024 4:47:10,21,He/him,Canadian,Once everyday,For You,Always,Rarely,Never,Never,Never,Rarely,Often,Never,Sometimes,Rarely,Rarely,Rarely,Rarely,Sometimes,Always,Rarely,Never,Never,Never,Never,Never,Upto 10 vidoes,Sometimes,Never,Rarely,Often,Never,Rarely,Often,Always,Often,Sometimes,Never,"I sometimes get videos about American politics out of context (I have no interest in actual politics, but these are kinda funny)","Every now and then, I'll get a podcast bro trying to make people believe something like dinosaurs had electricity. This is the only time I use the not interested feature.","dollartreedinners, sensationalsandwiches, suzaki65"
2/28/2024 14:21:07,18,He/him,Moroccan,Once in a while,For You,Sometimes,Never,Never,Rarely,Never,Often,Never,Never,Never,Never,Never,Never,Never,Often,Often,Often,Rarely,Never,Never,Never,Never,1-5 videos,Never,Sometimes,Always,Always,Never,Rarely,Never,Always,Always,Sometimes,Never,none,none,don't know names of creators
3/7/2024 12:49:18,18,He/him,French,Multiple times a day,For You,Always,Sometimes,Never,Never,Never,Rarely,Often,Rarely,Rarely,Rarely,Rarely,Never,Rarely,Often,Often,Often,Never,Never,Always,Never,Never,1-5 videos,Never,Sometimes,Never,Often,Rarely,Rarely,Rarely,Often,Sometimes,Often,Often,Don’t really watch politics,Don’t watch any,Dont really know 
